I lost.|I lose.
I lost the bet.|I lose the bet.
I love winning.|I love win.
I made cookies.|I make cookies.
I made her cry.|I make her cry.
I made him cry.|I make him cry.
I needed money.|I need money.
I noticed that.|I notice that.
I predicted it.|I predict it.
I promised Tom.|I promise Tom.
I really tried.|I really try.
I said get out.|I say get out.
I said not now.|I say not now.
I said nothing.|I say nothing.
I said shut up!|I say shut up!
I started that.|I start that.
I sure am cold.|I sure be cold.
I took her arm.|I take her arm.
I trusted them.|I trust them.
I turned right.|I turn right.
I walked alone.|I walk alone.
I wanted to go.|I want to go.
I was attacked.|I be attacked.
I was barefoot.|I be barefoot.
I was bluffing.|I be bluffing.
I was captured.|I be captured.
I was careless.|I be careless.
I was cleaning.|I be cleaning.
I was detained.|I be detained.
I was grateful.|I be grateful.
I was impolite.|I be impolite.
I was offended.|I be offended.
I was outdoors.|I be outdoors.
I was pardoned.|I be pardoned.
I was so happy.|I be so happy.
I was starving.|I be starving.
I was studying.|I be studying.
I was thinking.|I be thinking.
I was upstairs.|I be upstairs.
I was watching.|I be watching.
I wasn't drunk.|I ben't drunk.
I wasn't hired.|I ben't hired.
I went fishing.|I go fishing.
I'd be honored.|I'd be honor.
I'm astonished.|I'm astonish.
I'm being used.|I'm be used.
I'm dead tired.|I'm dead tire.
I'm dehydrated.|I'm dehydrate.
I'm devastated.|I'm devastate.
I'm doing well.|I'm do well.
I'm eating now.|I'm eat now.
I'm exercising.|I'm exercise.
I'm fascinated.|I'm fascinate.
I'm firing you.|I'm fire you.
I'm going back.|I'm go back.
I'm going bald.|I'm go bald.
I'm having fun.|I'm have fun.
I'm just tired.|I'm just tire.
I'm making tea.|I'm make tea.
I'm meditating.|I'm meditate.
I'm not amused.|I'm not amuse.
I'm not crying.|I'm not cry.
I'm not scared.|I'm not scar.
I'm prejudiced.|I'm prejudice.
I'm remodeling.|I'm remodel.
I'm undressing.|I'm undress.
I'm used to it.|I'm use to it.
I'm very tired.|I'm very tire.
I've been busy.|I've be busy.
I've got plans.|I've get plans.
I've messed up.|I've mess up.
I've remarried.|I've remarry.
I've seen that.|I've see that.
Is Tom working?|Is Tom work?
Is he sleeping?|Is he sleep?
Is it finished?|Is it finish?
It all changed.|It all change.
It gets better.|It get better.
It has to stop.|It have to stop.
It is Saturday.|It be Saturday.
It is possible.|It be possible.
It is so early.|It be so early.
It is too late.|It be too late.
It looked real.|It look real.
It makes sense.|It make sense.
It was a dream.|It be a dream.
It was a fluke.|It be a fluke.
It was awesome.|It be awesome.
It was perfect.|It be perfect.
It was raining.|It be raining.
It was snowing.|It be snowing.
It was so dark.|It be so dark.
It was so good.|It be so good.
It wasn't easy.|It ben't easy.
It wasn't luck.|It ben't luck.
It wasn't mine.|It ben't mine.
It's inspiring.|It's inspire.
It's revolting.|It's revolt.
It's vibrating.|It's vibrate.
It's well done.|It's well do.
It's what I am.|It's what I be.
Japan is weird.|Japan be weird.
Keep on trying.|Keep on try.
Keep searching.|Keep search.
Kids are cruel.|Kids be cruel.
Lunch is ready.|Lunch be ready.
Many fish died.|Many fish die.
Mary is lovely.|Mary be lovely.
Men are simple.|Men be simple.
My name is Tom.|My name be Tom.
No one arrived.|No one arrive.
No one cheated.|No one cheat.
No one escaped.|No one escape.
No one is home.|No one be home.
No one laughed.|No one laugh.
No one noticed.|No one notice.
Nobody is here.|Nobody be here.
Prices went up.|Prices go up.
Science is fun.|Science be fun.
She called him.|She call him.
She came alone.|She come alone.
She ditched me.|She ditch me.
She fooled him.|She fool him.
She gave money.|She give money.
She got caught.|She get caught.
She grew roses.|She grow roses.
She has a bike.|She have a bike.
She has a book.|She have a book.
She has brains.|She have brains.
She helped him.|She help him.
She hugged him.|She hug him.
She is a nurse.|She be a nurse.
She is awkward.|She be awkward.
She is dieting.|She be dieting.
She is talking.|She be talking.
She isn't poor.|She ben't poor.
She kicked him.|She kick him.
She kissed him.|She kiss him.
She liked that.|She like that.
She looked ill.   She loves cake.|She look ill.   She loves cake.
She seems rich.|She seem rich.
She teased him.|She tease him.
She was crying.|She be crying.
She's divorced.|She's divorce.
Someone called.|Someone call.
Stop grumbling.|Stop grumble.
Stop poking me.|Stop poke me.
Stop resisting!|Stop resist!
Stop screaming.|Stop scream.
Sugar is sweet.|Sugar be sweet.
Summer is over.|Summer be over.
That is a boat.|That be a boat.
That took guts.|That take guts.
That was a lie.|That be a lie.
That was close.|That be close.
That was great.|That be great.
That was quick.|That be quick.
That was sweet.|That be sweet.
That was weird.|That be weird.
That's amazing!|That's amaze!
The baby cried.|The baby cry.
The cat is wet.|The cat be wet.
The dog barked.|The dog bark.
The flag is up.|The flag be up.
The ice melted.|The ice melt.
The tea is hot.|The tea be hot.
These are mine.|These be mine.
They are alone.|They be alone.
They are bored.|They be bored.
They asked him.|They ask him.
They hated Tom.|They hat Tom.
They loved Tom.|They love Tom.
They quarreled.|They quarrel.
They ruined it.|They ruin it.
They struggled.|They struggle.
They were busy.|They be busy.
They're coming.|They're come.
This is a book.|The be a book.
This is a desk.|The be a desk.
This is a fact.|The be a fact.
This is a joke.|The be a joke.
This is a lion.|The be a lion.
This is a scam.|The be a scam.
This is a sign.|The be a sign.
This is absurd.|The be absurd.
This is creepy.|The be creepy.
This is doable.|The be doable.
This is insane.|The be insane.
This is my car.|The be my car.
This is my cat.|The be my cat.
This is my dog.|The be my dog.
This is normal.|The be normal.
This is pretty.|The be pretty.
This is theirs.|The be theirs.
This is tricky.|The be tricky.
This is unsafe.|The be unsafe.
This is urgent.|The be urgent.
This was a lie.|This be a lie.
Those are mine.|Those be mine.
Those are nice.|Those be nice.
Tom apologized.|Tom apologize.
Tom did it all.|Tom do it all.
Tom died at 65.|Tom die at 65.
Tom fired Mary.|Tom fire Mary.
Tom is a guest.|Tom be a guest.
Tom is a moron.|Tom be a moron.
Tom is a thief.|Tom be a thief.
Tom is at work.|Tom be at work.
Tom is driving.|Tom be driving.
Tom is helpful.|Tom be helpful.
Tom is kidding.|Tom be kidding.
Tom is leaving.|Tom be leaving.
Tom is married.|Tom be married.
Tom is packing.|Tom be packing.
Tom is playing.|Tom be playing.
Tom is starved.|Tom be starved.
Tom is staying.|Tom be staying.
Tom is talking.|Tom be talking.
Tom is working.|Tom be working.
Tom isn't dumb.|Tom ben't dumb.
Tom isn't here.|Tom ben't here.
Tom isn't rich.|Tom ben't rich.
Tom liked that.|Tom like that.
Tom seems lost.|Tom seem lost.
Tom seems nice.|Tom seem nice.
Tom stopped it.|Tom stop it.
Tom warned you.|Tom warn you.
Tom was better.|Tom be better.
Tom was lonely.|Tom be lonely.
Tom's dreaming.|Tom's dream.
Tom's drowning.|Tom's drown.
Tom's sweating.|Tom's sweat.
We all cheered.|We all cheer.
We all laughed.|We all laugh.
We are all set.|We be all set.
We didn't kiss.|We don't kiss.
We had a blast.|We have a blast.
We had to stop.|We have to stop.
We just landed.|We just land.
We needed help.|We need help.
We needed this.|We need this.
We never voted.|We never vote.
We only kissed.|We only kiss.
We surrendered.|We surrender.
We volunteered.|We volunteer.
We were beaten.|We be beaten.
We were wasted.|We be wasted.
We're all done.|We're all do.
We're confused.|We're confuse.
We're divorced.|We're divorce.
We're escaping.|We're escape.
We're fighting.|We're fight.
We're finished.|We're finish.
We're freezing.|We're freeze.
We're managing.|We're manage.
We're not done.|We're not do.
We're not lost.|We're not lose.
We're quitting.|We're quit.
We're retiring.|We're retire.
We're standing.|We're stand.
We're starving.|We're starve.
We've finished.|We've finish.
We've seen her.|We've see her.
We've seen him.|We've see him.
Well done, Tom.|Well do, Tom.
What are these?|What be these?
What are those?|What be those?
What did I get?|What do I get?
What did I win?|What do I win?
When did he go?|When do he go?
Where are they?|Where be they?
Where is Paris?|Where be Parbe?
Where were you?|Where be you?
Who called you?|Who call you?
Who did he see?|Who do he see?
Who goes there?|Who go there?
Who is on duty?|Who be on duty?
Who killed Tom?|Who kill Tom?
Who wants this?|Who want this?
Who's watching?|Who's watch?
Whose are they?|Whose be they?
Why is he busy?|Why be he busy?
You are morons.|You be morons.
You are stupid.|You be stupid.
You aren't Tom.|You ben't Tom.
You lied to me.|You lie to me.
You look bored.|You look bore.
You look tired.|You look tire.
You screwed up.|You screw up.
You smashed it.|You smash it.
You were great.|You be great.
You were happy.|You be happy.
You're amazing.|You're amaze.
You're amusing.|You're amuse.
You're invited.|You're invite.
You're kidding!|You're kid!
You're sloshed.|You're slosh.
You're smashed.|You're smash.
You're winning.|You're win.
You've done it!|You've do it!
A boat capsized.|A boat capsize.
All are present.|All be present.
Are we finished?|Are we finish?
Are you dressed?|Are you dress?
Are you excited?|Are you excite?
Are you kidding?|Are you kid?
Are you looking?|Are you look?
Are you working?|Are you work?
Balls are round.|Balls be round.
Boy was I naive.|Boy be I naive.
Boy was I wrong.|Boy be I wrong.
Boys are stupid.|Boys be stupid.
Change is scary.|Change be scary.
Come as you are.|Come as you be.
Dinner is ready.|Dinner be ready.
Do I look tired?|Do I look tire?
Do what he says.|Do what he say.
Don't be scared.|Don't be scar.
Everyone agreed.|Everyone agree.
Everyone did it.|Everyone do it.
Everyone smiled.|Everyone smile.
Everyone waited.|Everyone wait.
Everyone was OK.   Everyone's dead.|Everyone be OK.   Everyone's dead.
Girls are crazy.|Girls be crazy.
Great, isn't it?|Great, ben't it?
Guys are stupid.|Guys be stupid.
He began to cry.|He begin to cry.
He began to run.|He begin to run.
He came running.|He come running.
He did his best.|He do his best.
He did it again.|He do it again.
He does it fast.|He do it fast.
He gave up hope.|He give up hope.
He got into bed.|He get into bed.
He got the ball.|He get the ball.
He got very mad.|He get very mad.
He had ambition.|He have ambition.
He had no money.|He have no money.
He has a Toyota.|He have a Toyota.
He has a camera.|He have a camera.
He has a hat on.|He have a hat on.
He has gone mad.|He have gone mad.
He has gone out.|He have gone out.
He has no money.|He have no money.
He has ten cows.|He have ten cows.
He has two cars.|He have two cars.
He has two cats.|He have two cats.
He is a bad boy.|He be a bad boy.
He is a dreamer.|He be a dreamer.
He is a painter.|He be a painter.
He is a psychic.|He be a psychic.
He is a student.|He be a student.
He is a teacher.|He be a teacher.
He is depressed.|He be depressed.
He is my friend.|He be my friend.
He is off today.|He be off today.
He is unmarried.|He be unmarried.
He is very tall.|He be very tall.
He is well paid.|He be well paid.
He just arrived.|He just arrive.
He kept talking.|He kept talk.
He lost his job.|He lose his job.
He made a robot.|He make a robot.
He made her cry.|He make her cry.
He made me sing.|He make me sing.
He mentioned it.|He mention it.
He missed class.|He miss class.
He said nothing.|He say nothing.
He saved us all.|He save us all.
He seems honest.|He seem honest.
He sells whisky.|He sell whisky.
He stared at me.|He star at me.
He studied hard.|He study hard.
He swindled her.|He swindle her.
He was cheating.|He be cheating.
He was outraged.|He be outraged.
He was standing.|He be standing.
He was very fun.|He be very fun.
He was very old.|He be very old.
He went surfing.|He go surfing.
He's going bald.|He's go bald.
He's helping me.|He's help me.
Her father died.|Her father die.
Here I am again.|Here I be again.
Here is the map.|Here be the map.
How are you?|How be you?
His ID was fake.|His ID be fake.
His name is mud.|Hbe name be mud.
His son is sick.|Hbe son be sick.
His word is law.|Hbe word be law.
How are you all?|How be you all?
How are you now?|How be you now?
How big you are!|How big you be!
How did it feel?|How do it feel?
How interesting!|How interest!
How is everyone?|How be everyone?
How is it going?|How be it going?
How is your dad?|How be your dad?
How old are you?|How old be you?
I almost did it.|I almost do it.
I am a Japanese.|I be a Japanese.
I am a bachelor.|I be a bachelor.
I am a good boy.|I be a good boy.
I am busy today.|I be busy today.
I am from Egypt.|I be from Egypt.
I am in trouble.|I be in trouble.
I am not eating.|I be not eating.
I am undressing.|I be undressing.
I am very sorry.|I be very sorry.
I am very tired.|I be very tired.
I amused myself.|I amuse myself.
I baked cookies.|I bake cookies.
I believed that.|I believe that.
I booked a seat.|I book a seat.
I called Tom up.|I call Tom up.
I called her up.|I call her up.
I called him up.|I call him up.
I deserved that.|I deserve that.
I did it anyway.|I do it anyway.
I did it myself.|I do it myself.
I did that once.|I do that once.
I didn't forget.|I don't forget.
I didn't listen.|I don't listen.
I didn't notice.|I don't notice.
I didn't say it.|I don't say it.
I didn't scream.|I don't scream.
I didn't see it.|I don't see it.
I didn't shower.|I don't shower.
I downloaded it.|I download it.
I dried my face.|I dry my face.
I enjoy working.|I enjoy work.
I escaped death.|I escape death.
I expected more.|I expect more.
I expected this.|I expect this.
I feel relieved.|I feel relieve.
I finished last.|I finish last.
I fired the gun.|I fire the gun.
I got a bargain.|I get a bargain.
I got no answer.|I get no answer.
I got remarried.|I get remarried.
I got rid of it.|I get rid of it.
I got sunburned.|I get sunburned.
I guessed right.|I guess right.
I had a seizure.|I have a seizure.
I had my doubts.|I have my doubts.
I had no choice.|I have no choice.
I had no doubts.|I have no doubts.
I had some help.|I have some help.
I had to resign.|I have to resign.
I hate fighting.|I hate fight.
I hate studying.|I hate study.
I have finished.|I have finish.
I have returned.|I have return.
I haven't eaten.|I haven't eat.
I haven't tried.|I haven't try.
I hear laughing.|I hear laugh.
I heard yelling.|I heard yell.
I imagined that.|I imagine that.
I just finished.|I just finish.
I just got here.|I just get here.
I just got that.|I just get that.
I just showered.|I just shower.
I know Tom lied.|I know Tom lie.
I laughed a lot.|I laugh a lot.
I learned a lot.|I learn a lot.
I lied about it.|I lie about it.
I like sleeping.|I like sleep.
I like swimming.|I like swim.
I like teaching.|I like teach.
I lost interest.|I lose interest.
I lost my phone.|I lose my phone.
I lost my watch.|I lose my watch.
I love swimming.|I love swim.
I love teaching.|I love teach.
I made brownies.|I make brownies.
I made that one.|I make that one.
I made the deal.|I make the deal.
I missed supper.|I miss supper.
I motivated you.|I motivate you.
I never noticed.|I never notice.
I never said no.|I never say no.
I ordered pizza.|I order pizza.
I outwitted him.|I outwit him.
I relied on him.|I rely on him.
I remembered it.|I remember it.
I said I'm fine.|I say I'm fine.
I saw it coming.|I saw it come.
I smelled bacon.|I smell bacon.
I talked to her.|I talk to her.
I turned it off.|I turn it off.
I wanted to die.|I want to die.
I wanted to pay.|I want to pay.
I was a teacher.|I be a teacher.
I was assaulted.|I be assaulted.
I was born here.|I be born here.
I was concerned.|I be concerned.
